,0
1186,11138
1187,11155
1188,11167
1189,11145
1190,11152
1191,11161
1192,11170
1193,11171
1194,11156
1195,11154
1196,11168
1197,11170
1198,11156
1199,11168
1200,11155
1201,11157
1202,11173
1203,11179
1204,11169
1205,11181
1206,11168
1207,11173
1208,11183
1209,11171
1210,11192
1211,11184
1212,11193
1213,11171
1214,11189
1215,11178
1216,11191
1217,11165
1218,11183
1219,11178
1220,11182
1221,11197
1222,11193
1223,11175
1224,11198
1225,11191
1226,11201
1227,11199
1228,11192
1229,11202
1230,11199
1231,11196
1232,11188
1233,11205
1234,11196
1235,11192
1236,11202
1237,11195
1238,11218
1239,11207
1240,11203
1241,11197
1242,11218
1243,11215
1244,11208
1245,11208
1246,11211
1247,11215
1248,11210
1249,11216
1250,11220
1251,11232
1252,11204
1253,11226
1254,11220
1255,11233
1256,11223
1257,11225
1258,11227
1259,11220
1260,11214
1261,11234
1262,11238
1263,11220
1264,11234
1265,11212
1266,11231
1267,11236
1268,11229
1269,11238
1270,11236
1271,11242
1272,11220
1273,11238
1274,11228
1275,11220
1276,11211
1277,11222
1278,11227
1279,11225
1280,11227
1281,11221
1282,11219
1283,11217
1284,11199
1285,11211
1286,11221
1287,11215
1288,11201
1289,11210
1290,11204
1291,11208
1292,11194
1293,11197
1294,11184
1295,11190
1296,11182
1297,11194
1298,11190
1299,11179
1300,11193
1301,11184
1302,11175
1303,11180
1304,11183
1305,11175
1306,11189
1307,11156
1308,11168
1309,11166
1310,11152
1311,11159
1312,11171
1313,11155
1314,11158
1315,11173
1316,11161
1317,11155
1318,11144
1319,11154
1320,11152
1321,11157
1322,11155
1323,11161
1324,11148
1325,11145
1326,11152
1327,11166
1328,11142
1329,11146
1330,11161
1331,11159
1332,11160
1333,11131
1334,11139
1335,11151
1336,11135
1337,11146
1338,11141
1339,11134
1340,11130
1341,11131
1342,11143
1343,11135
1344,11141
1345,11131
1346,11153
1347,11147
1348,11143
1349,11136
1350,11140
1351,11127
1352,11140
1353,11123
1354,11142
1355,11129
1356,11140
1357,11130
1358,11135
1359,11133
1360,11155
1361,11128
1362,11112
1363,11136
1364,11131
1365,11124
1366,11144
1367,11123
1368,11132
1369,11135
1370,11132
1371,11129
1372,11130
1373,11129
1374,11143
1375,11136
1376,11125
1377,11128
1378,11149
1379,11152
1380,11122
1381,11140
1382,11142
1383,11141
1384,11140
1385,11135
1386,11152
1387,11133
1388,11136
1389,11155
1390,11153
1391,11151
1392,11137
1393,11168
1394,11175
1395,11164
1396,11159
1397,11159
1398,11154
1399,11162
1400,11166
1401,11183
1402,11183
1403,11178
1404,11163
1405,11188
1406,11181
1407,11183
1408,11183
1409,11170
1410,11173
1411,11170
1412,11173
1413,11178
1414,11187
1415,11193
1416,11193
1417,11171
1418,11185
1419,11192
1420,11186
1421,11190
1422,11193
1423,11182
1424,11197
1425,11187
1426,11191
1427,11197
1428,11217
1429,11207
1430,11197
1431,11201
1432,11213
1433,11212
1434,11204
1435,11196
1436,11202
1437,11207
1438,11208
1439,11208
1440,11212
1441,11218
1442,11207
1443,11206
1444,11221
1445,11229
1446,11238
1447,11234
1448,11225
1449,11251
1450,11246
1451,11230
1452,11233
1453,11236
1454,11252
1455,11242
1456,11250
1457,11265
1458,11259
1459,11252
1460,11243
1461,11249
1462,11263
1463,11250
1464,11247
1465,11256
1466,11251
1467,11261
1468,11265
1469,11239
1470,11252
1471,11259
1472,11263
1473,11272
1474,11264
1475,11272
1476,11281
1477,11269
1478,11263
1479,11279
1480,11275
1481,11286
1482,11283
1483,11269
1484,11282
1485,11280
1486,11296
1487,11284
1488,11279
1489,11287
1490,11290
1491,11305
1492,11286
1493,11282
1494,11281
1495,11307
1496,11283
1497,11299
1498,11291
1499,11303
1500,11294
1501,11301
1502,11316
1503,11307
1504,11317
1505,11316
1506,11328
1507,11312
1508,11305
1509,11313
1510,11334
1511,11318
1512,11324
1513,11333
1514,11323
1515,11342
1516,11348
1517,11328
1518,11315
1519,11337
1520,11325
1521,11322
1522,11329
1523,11329
1524,11336
1525,11329
1526,11353
1527,11348
1528,11348
1529,11349
1530,11345
1531,11356
1532,11348
1533,11366
1534,11353
1535,11357
1536,11363
1537,11354
1538,11357
1539,11364
1540,11350
1541,11348
1542,11377
1543,11374
1544,11371
1545,11373
1546,11368
1547,11382
1548,11369
1549,11379
1550,11374
1551,11376
1552,11375
1553,11385
1554,11387
1555,11385
1556,11384
1557,11384
1558,11394
1559,11384
1560,11395
1561,11390
1562,11388
1563,11387
1564,11390
1565,11393
1566,11402
1567,11387
1568,11402
1569,11399
1570,11403
1571,11406
1572,11399
1573,11409
1574,11405
1575,11411
1576,11403
1577,11411
1578,11428
1579,11404
1580,11401
1581,11405
1582,11419
1583,11417
1584,11420
1585,11420
1586,11420
1587,11428
1588,11419
1589,11420
1590,11427
1591,11416
1592,11404
1593,11408
1594,11431
1595,11404
1596,11414
1597,11405
1598,11413
1599,11423
1600,11417
1601,11408
1602,11413
1603,11392
1604,11406
1605,11414
1606,11409
1607,11412
1608,11392
1609,11395
1610,11409
1611,11396
1612,11395
1613,11392
1614,11400
1615,11386
1616,11401
1617,11402
1618,11393
1619,11383
1620,11386
1621,11363
1622,11386
1623,11377
1624,11375
1625,11377
1626,11380
1627,11375
1628,11374
1629,11374
1630,11378
1631,11372
1632,11366
1633,11376
1634,11352
1635,11358
1636,11379
1637,11371
1638,11358
1639,11365
1640,11349
1641,11356
1642,11363
1643,11363
1644,11362
1645,11374
1646,11362
1647,11351
1648,11366
1649,11366
1650,11364
1651,11369
1652,11371
1653,11378
1654,11359
1655,11363
1656,11363
1657,11355
1658,11362
1659,11365
1660,11359
1661,11359
1662,11368
1663,11375
1664,11366
1665,11370
